Binomial.1.2,order,family,genus,iucn_status,common_name,guild_with_omnivore,guild_only_herbivory,fermentation_simple,trophic_level_herbivore,source_herbi,herbivore_fg_own,herbi_body_mass_bins,mass_kg,mass_kg_carni,maximum_prey_size,largest_accessible_prey_size,prey_range_bins,group_hunting,hunting_style,carnivore_fg_own,source_carni,trophic_level_carni,trophic_level,species,browser,grazer,mixed_feeder,omnivore,feeding_type,fermentation_type,mr_mass_kg,hempson_herbivore_group,trophic_level_hempson
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,,,,,medium herbivore,Phylacine,not_complete,5,46.7,46.7,971.7837,507.531930042116,3,cooperative hunter,Pursuit,large prey predatorcooperative hunterPursuit,CarniTRAITS,large prey predator,large prey predator,Acinonyx jubatus,,,,,Predator,Shortgut,35.025,,large prey predator
Addax_nasomaculatus,Cetartiodactyla,Bovidae,Addax,CR,Addax,Grazer,Grazer,Foregut,medium herbivore,HerbiTRAITS,s2GrazerForegut,6,70.0003,,,,,,,,,,medium herbivore,Addax nasomaculatus,0,1,0,0,Grazer,Foregut,52.500225,,
Aepyceros_melampus,Cetartiodactyla,Bovidae,Aepyceros,LC,Impala,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,6,52.5001,,,,,,,,,,medium herbivore,Aepyceros melampus,0,0,1,0,Mixed Feeder,Foregut,39.375075,Water-dependent grazers,Water-dependent grazers
Ailuropoda_melanoleuca,Carnivora,Ursidae,Ailuropoda,VU,Giant Panda,Browser,Browser,Simple,large herbivore,HerbiTRAITS,s3BrowserSimple,7,108.4,,,,,,,,,,large herbivore,Ailuropoda melanoleuca,1,0,0,0,Browser,Simple,81.3,,
Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,Alcelaphus,LC,Hartebeest,Grazer,Grazer,Foregut,large herbivore,HerbiTRAITS,s3GrazerForegut,8,171.0015,,,,,,,,,,large herbivore,Alcelaphus buselaphus,0,1,0,0,Grazer,Foregut,128.251125,,
Alces_alces,Cetartiodactyla,Cervidae,Alces,LC,Moose,Browser,Browser,Foregut,large herbivore,HerbiTRAITS,s3BrowserForegut,9,356.998,,,,,,,,,,large herbivore,Alces alces,1,0,0,0,Browser,Foregut,267.7485,,
Ammodorcas_clarkei,Cetartiodactyla,Bovidae,Ammodorcas,VU,Dibatag,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,4,28.0498,,,,,,,,,,small herbivore,Ammodorcas clarkei,1,0,0,0,Browser,Foregut,21.03735,Small nonsocial browsers,Small nonsocial browsers
Ammotragus_lervia,Cetartiodactyla,Bovidae,Ammotragus,VU,Aoudad,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,5,48,,,,,,,,,,medium herbivore,Ammotragus lervia,0,0,1,0,Mixed Feeder,Foregut,36,Medium-sized social mixed diets,Medium-sized social mixed diets
Antidorcas_marsupialis,Cetartiodactyla,Bovidae,Antidorcas,LC,Springbok,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,4,31.5,,,,,,,,,,small herbivore,Antidorcas marsupialis,1,0,0,0,Browser,Foregut,23.625,Medium-sized social mixed diets,Medium-sized social mixed diets
Antilocapra_americana,Cetartiodactyla,Antilocapridae,Antilocapra,LC,Pronghorn,Browser,Browser,Foregut,medium herbivore,HerbiTRAITS,s2BrowserForegut,5,46.0829,,,,,,,,,,medium herbivore,Antilocapra americana,1,0,0,0,Browser,Foregut,34.562175,,
Antilope_cervicapra,Cetartiodactyla,Bovidae,Antilope,NT,Blackbuck,Grazer,Grazer,Foregut,small herbivore,HerbiTRAITS,s1GrazerForegut,5,37.5,,,,,,,,,,small herbivore,Antilope cervicapra,0,1,0,0,Grazer,Foregut,28.125,,
Aonyx_capensis,Carnivora,Mustelidae,Aonyx,NT,,,,,small herbivore,Phylacine,not_complete,3,18.9998,,,,,,,,,,small herbivore,Aonyx capensis,,,,,Predator,Shortgut,14.24985,,
Aonyx_congicus,Carnivora,Mustelidae,Aonyx,NT,,,,,small herbivore,Phylacine,not_complete,4,23.8002,,,,,,,,,,small herbivore,Aonyx congicus,,,,,Predator,Shortgut,17.85015,,
Arabitragus_jayakari,Cetartiodactyla,Bovidae,Arabitragus,EN,Arabian Tahr,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,4,23,,,,,,,,,,small herbivore,Arabitragus jayakari,1,0,0,0,Browser,Foregut,17.25,,
Arctocephalus_australis,Carnivora,Otariidae,Arctocephalus,LC,,,,,medium herbivore,Phylacine,not_complete,5,45,,,,,,,,,,medium herbivore,Arctocephalus australis,,,,,Predator,Shortgut,33.75,,
Arctocephalus_forsteri,Carnivora,Otariidae,Arctocephalus,LC,,,,,large herbivore,Phylacine,not_complete,7,101.25,,,,,,,,,,large herbivore,Arctocephalus forsteri,,,,,Predator,Shortgut,75.9375,,
Arctocephalus_galapagoensis,Carnivora,Otariidae,Arctocephalus,EN,,,,,small herbivore,Phylacine,not_complete,4,27,,,,,,,,,,small herbivore,Arctocephalus galapagoensis,,,,,Predator,Shortgut,20.25,,
Arctocephalus_gazella,Carnivora,Otariidae,Arctocephalus,LC,,,,,medium herbivore,Phylacine,not_complete,7,97.5,,,,,,,,,,medium herbivore,Arctocephalus gazella,,,,,Predator,Shortgut,73.125,,
Arctocephalus_philippii,Carnivora,Otariidae,Arctocephalus,LC,,,,,medium herbivore,Phylacine,not_complete,7,95,,,,,,,,,,medium herbivore,Arctocephalus philippii,,,,,Predator,Shortgut,71.25,,
Arctocephalus_pusillus,Carnivora,Otariidae,Arctocephalus,LC,,,,,large herbivore,Phylacine,not_complete,8,178.5,,,,,,,,,,large herbivore,Arctocephalus pusillus,,,,,Predator,Shortgut,133.875,,
Arctocephalus_townsendi,Carnivora,Otariidae,Arctocephalus,LC,,,,,large herbivore,Phylacine,not_complete,7,105,,,,,,,,,,large herbivore,Arctocephalus townsendi,,,,,Predator,Shortgut,78.75,,
Arctocephalus_tropicalis,Carnivora,Otariidae,Arctocephalus,LC,,,,,medium herbivore,Phylacine,not_complete,7,84,,,,,,,,,,medium herbivore,Arctocephalus tropicalis,,,,,Predator,Shortgut,63,,
Axis_axis,Cetartiodactyla,Cervidae,Axis,LC,Chital,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,6,66.1728,,,,,,,,,,medium herbivore,Axis axis,0,0,1,0,Mixed Feeder,Foregut,49.6296,,
Axis_calamianensis,Cetartiodactyla,Cervidae,Axis,EN,Calamian Deer,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,5,40.5,,,,,,,,,,small herbivore,Axis calamianensis,0,0,1,0,Mixed Feeder,Foregut,30.375,,
Axis_kuhlii,Cetartiodactyla,Cervidae,Axis,CR,Bawean Deer,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,6,55,,,,,,,,,,medium herbivore,Axis kuhlii,0,0,1,0,Mixed Feeder,Foregut,41.25,,
Axis_porcinus,Cetartiodactyla,Cervidae,Axis,EN,Hog Deer,Grazer,Grazer,Foregut,small herbivore,HerbiTRAITS,s1GrazerForegut,5,34.1278,,,,,,,,,,small herbivore,Axis porcinus,0,1,0,0,Grazer,Foregut,25.59585,,
Babyrousa_babyrussa,Cetartiodactyla,Suidae,Babyrousa,VU,Hairy Babirusa,Browser,Browser,Foregut,large herbivore,HerbiTRAITS,s3BrowserForegut,7,100,,,,,,,,,,large herbivore,Babyrousa babyrussa,1,0,0,0,Browser,Foregut,75,,
Babyrousa_celebensis,Cetartiodactyla,Suidae,Babyrousa,VU,Sulawesi Babirusa,Omnivore,Browser,Foregut,medium herbivore,HerbiTRAITS,s2OmnivoreForegut,7,84.3275,,,,,,,,,,medium herbivore,Babyrousa celebensis,1,0,0,1,Omnivore,Foregut,63.245625,,
Babyrousa_togeanensis,Cetartiodactyla,Suidae,Babyrousa,EN,Togian Islands Babirusa,Omnivore,Browser,Foregut,large herbivore,HerbiTRAITS,s3OmnivoreForegut,7,113.7628,,,,,,,,,,large herbivore,Babyrousa togeanensis,1,0,0,1,Omnivore,Foregut,85.3221,,
Beatragus_hunteri,Cetartiodactyla,Bovidae,Beatragus,CR,Hirola,Grazer,Grazer,Foregut,medium herbivore,HerbiTRAITS,s2GrazerForegut,6,80,,,,,,,,,,medium herbivore,Beatragus hunteri,0,1,0,0,Grazer,Foregut,60,Medium-sized social mixed diets,Medium-sized social mixed diets
Bison_bison,Cetartiodactyla,Bovidae,Bison,NT,American Bison,Mixed Feeder,Mixed Feeder,Foregut,large herbivore,HerbiTRAITS,s3Mixed FeederForegut,9,579.2553,,,,,,,,,,large herbivore,Bison bison,0,0,1,0,Mixed Feeder,Foregut,434.441475,,
Bison_bonasus,Cetartiodactyla,Bovidae,Bison,VU,European Bison,Mixed Feeder,Mixed Feeder,Foregut,large herbivore,HerbiTRAITS,s3Mixed FeederForegut,9,500,,,,,,,,,,large herbivore,Bison bonasus,0,0,1,0,Mixed Feeder,Foregut,375,,
Blastocerus_dichotomus,Cetartiodactyla,Cervidae,Blastocerus,VU,Marsh Deer,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,7,86.6662,,,,,,,,,,medium herbivore,Blastocerus dichotomus,0,0,1,0,Mixed Feeder,Foregut,64.99965,,
Bos_gaurus,Cetartiodactyla,Bovidae,Bos,VU,Gaur,Mixed Feeder,Mixed Feeder,Foregut,large herbivore,HerbiTRAITS,s3Mixed FeederForegut,9,825,,,,,,,,,,large herbivore,Bos gaurus,0,0,1,0,Mixed Feeder,Foregut,618.75,,
Bos_javanicus,Cetartiodactyla,Bovidae,Bos,EN,Banteng,Mixed Feeder,Mixed Feeder,Foregut,large herbivore,HerbiTRAITS,s3Mixed FeederForegut,9,700,,,,,,,,,,large herbivore,Bos javanicus,0,0,1,0,Mixed Feeder,Foregut,525,,
Bos_mutus,Cetartiodactyla,Bovidae,Bos,VU,Wild Yak,Grazer,Grazer,Foregut,large herbivore,HerbiTRAITS,s3GrazerForegut,9,546.25,,,,,,,,,,large herbivore,Bos mutus,0,1,0,0,Grazer,Foregut,409.6875,,
Bos_primigenius,Cetartiodactyla,Bovidae,Bos,EX,Aurochs,Mixed Feeder,Mixed Feeder,Foregut,large herbivore,HerbiTRAITS,s3Mixed FeederForegut,9,900,,,,,,,,,,large herbivore,Bos primigenius,0,0,1,0,Mixed Feeder,Foregut,675,,
Bos_sauveli,Cetartiodactyla,Bovidae,Bos,CR,Kouprey,Mixed Feeder,Mixed Feeder,Foregut,large herbivore,HerbiTRAITS,s3Mixed FeederForegut,9,800,,,,,,,,,,large herbivore,Bos sauveli,0,0,1,0,Mixed Feeder,Foregut,600,,
Boselaphus_tragocamelus,Cetartiodactyla,Bovidae,Boselaphus,LC,Nilgai,Mixed Feeder,Mixed Feeder,Foregut,large herbivore,HerbiTRAITS,s3Mixed FeederForegut,8,169,,,,,,,,,,large herbivore,Boselaphus tragocamelus,0,0,1,0,Mixed Feeder,Foregut,126.75,,
Brachyteles_arachnoides,Primates,Atelidae,Brachyteles,EN,Southern Muriqui,Browser,Browser,Hindgut,small herbivore,HerbiTRAITS,s1BrowserHindgut,2,13.4999,,,,,,,,,,small herbivore,Brachyteles arachnoides,1,0,0,0,Browser,Hindgut,10.124925,,
Bubalus_arnee,Cetartiodactyla,Bovidae,Bubalus,EN,Wild water buffalo,Mixed Feeder,Mixed Feeder,Foregut,large herbivore,HerbiTRAITS,s3Mixed FeederForegut,9,725,,,,,,,,,,large herbivore,Bubalus arnee,0,0,1,0,Mixed Feeder,Foregut,543.75,,
Bubalus_depressicornis,Cetartiodactyla,Bovidae,Bubalus,EN,Lowland Anoa,Browser,Browser,Foregut,medium herbivore,HerbiTRAITS,s2BrowserForegut,7,88,,,,,,,,,,medium herbivore,Bubalus depressicornis,1,0,0,0,Browser,Foregut,66,,
Bubalus_mindorensis,Cetartiodactyla,Bovidae,Bubalus,CR,Tamaraw,Mixed Feeder,Mixed Feeder,Foregut,large herbivore,HerbiTRAITS,s3Mixed FeederForegut,8,224,,,,,,,,,,large herbivore,Bubalus mindorensis,0,0,1,0,Mixed Feeder,Foregut,168,,
Bubalus_quarlesi,Cetartiodactyla,Bovidae,Bubalus,EN,Mountain Anoa,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,6,76,,,,,,,,,,medium herbivore,Bubalus quarlesi,0,0,1,0,Mixed Feeder,Foregut,57,,
Budorcas_taxicolor,Cetartiodactyla,Bovidae,Budorcas,VU,Takin,Browser,Browser,Foregut,large herbivore,HerbiTRAITS,s3BrowserForegut,9,302,,,,,,,,,,large herbivore,Budorcas taxicolor,1,0,0,0,Browser,Foregut,226.5,,
Callorhinus_ursinus,Carnivora,Otariidae,Callorhinus,VU,,,,,medium herbivore,Phylacine,not_complete,5,45.133,,,,,,,,,,medium herbivore,Callorhinus ursinus,,,,,Predator,Shortgut,33.84975,,
Camelus_dromedarius,Cetartiodactyla,Camelidae,Camelus,EP,Dromedary camel,Browser,Browser,Foregut,large herbivore,HerbiTRAITS,s3BrowserForegut,9,800,,,,,,,,,,large herbivore,Camelus dromedarius,1,0,0,0,Browser,Foregut,600,,
Camelus_ferus,Cetartiodactyla,Camelidae,Camelus,CR,Bactrian Camel,Browser,Browser,Foregut,large herbivore,HerbiTRAITS,s3BrowserForegut,9,690,,,,,,,,,,large herbivore,Camelus ferus,1,0,0,0,Browser,Foregut,517.5,,
Canis_adustus,Carnivora,Canidae,Canis,LC,,,,,small herbivore,Phylacine,not_complete,1,10.2499,,,,,,,,,,small herbivore,Canis adustus,,,,,Predator,Shortgut,7.687425,,
Canis_aureus,Carnivora,Canidae,Canis,LC,,,,,small herbivore,Phylacine,not_complete,1,10.3452,10.3452,143.5850012,198.883107042772,1,cooperative hunter,Pounce pursuit,large prey predatorcooperative hunterPounce pursuit,CarniTRAITS,large prey predator,large prey predator,Canis aureus,,,,,Predator,Shortgut,7.7589,,large prey predator
Canis_latrans,Carnivora,Canidae,Canis,LC,,,,,small herbivore,Phylacine,not_complete,2,13.4063,,,,,,,,,,small herbivore,Canis latrans,,,,,Predator,Shortgut,10.054725,,
Canis_lupus,Carnivora,Canidae,Canis,LC,,,,,small herbivore,Phylacine,not_complete,4,32.1833,32.1833,641.0787573,431.293056826401,2,cooperative hunter,Pursuit,large prey predatorcooperative hunterPursuit,CarniTRAITS,large prey predator,large prey predator,Canis lupus,,,,,Predator,Shortgut,24.137475,,large prey predator
Canis_rufus,Carnivora,Canidae,Canis,CR,,,,,small herbivore,Phylacine,not_complete,4,22.9832,22.9832,431.4912792,362.346872447927,2,cooperative hunter,Pursuit,large prey predatorcooperative hunterPursuit,CarniTRAITS,large prey predator,large prey predator,Canis rufus,,,,,Predator,Shortgut,17.2374,,large prey predator
Capra_aegagrus,Cetartiodactyla,Bovidae,Capra,VU,Wild Goat,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,5,33.5,,,,,,,,,,small herbivore,Capra aegagrus,0,0,1,0,Mixed Feeder,Foregut,25.125,,
Capra_caucasica,Cetartiodactyla,Bovidae,Capra,EN,Western Tur,Grazer,Grazer,Foregut,medium herbivore,HerbiTRAITS,s2GrazerForegut,6,55,,,,,,,,,,medium herbivore,Capra caucasica,0,1,0,0,Grazer,Foregut,41.25,,
Capra_cylindricornis,Cetartiodactyla,Bovidae,Capra,NT,Eastern Tur,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,5,50,,,,,,,,,,medium herbivore,Capra cylindricornis,0,0,1,0,Mixed Feeder,Foregut,37.5,,
Capra_falconeri,Cetartiodactyla,Bovidae,Capra,NT,Markhor,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,5,41,,,,,,,,,,small herbivore,Capra falconeri,0,0,1,0,Mixed Feeder,Foregut,30.75,,
Capra_ibex,Cetartiodactyla,Bovidae,Capra,LC,Alpine ibex,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,7,85.1665,,,,,,,,,,medium herbivore,Capra ibex,0,0,1,0,Mixed Feeder,Foregut,63.874875,,
Capra_nubiana,Cetartiodactyla,Bovidae,Capra,VU,Nubian Ibex,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,6,62.6248,,,,,,,,,,medium herbivore,Capra nubiana,0,0,1,0,Mixed Feeder,Foregut,46.9686,Water-dependent grazers,Water-dependent grazers
Capra_pyrenaica,Cetartiodactyla,Bovidae,Capra,LC,Iberian Wild Goat; Spanish Ibex,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,5,50,,,,,,,,,,medium herbivore,Capra pyrenaica,0,0,1,0,Mixed Feeder,Foregut,37.5,,
Capra_sibirica,Cetartiodactyla,Bovidae,Capra,LC,Siberian Ibex,Mixed Feeder,Mixed Feeder,Foregut,large herbivore,HerbiTRAITS,s3Mixed FeederForegut,8,130,,,,,,,,,,large herbivore,Capra sibirica,0,0,1,0,Mixed Feeder,Foregut,97.5,,
Capra_walie,Cetartiodactyla,Bovidae,Capra,EN,Walia Ibex,Browser,Browser,Foregut,large herbivore,HerbiTRAITS,s3BrowserForegut,7,100,,,,,,,,,,large herbivore,Capra walie,1,0,0,0,Browser,Foregut,75,Large browsers,Large browsers
Capreolus_capreolus,Cetartiodactyla,Cervidae,Capreolus,LC,European Roe Deer,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,3,22.5,,,,,,,,,,small herbivore,Capreolus capreolus,1,0,0,0,Browser,Foregut,16.875,,
Capreolus_pygargus,Cetartiodactyla,Cervidae,Capreolus,LC,Siberian Roe Deer,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,5,43.7522,,,,,,,,,,small herbivore,Capreolus pygargus,0,0,1,0,Mixed Feeder,Foregut,32.81415,,
Capricornis_crispus,Cetartiodactyla,Bovidae,Capricornis,LC,Japanese Serow,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,5,37.16,,,,,,,,,,small herbivore,Capricornis crispus,0,0,1,0,Mixed Feeder,Foregut,27.87,,
Capricornis_milneedwardsii,Cetartiodactyla,Bovidae,Capricornis,NT,Chinese Serow,Browser,Browser,Foregut,large herbivore,HerbiTRAITS,s3BrowserForegut,8,130,,,,,,,,,,large herbivore,Capricornis milneedwardsii,1,0,0,0,Browser,Foregut,97.5,,
Capricornis_rubidus,Cetartiodactyla,Bovidae,Capricornis,NT,Red Serow,Browser,Browser,Foregut,medium herbivore,HerbiTRAITS,s2BrowserForegut,7,87.5,,,,,,,,,,medium herbivore,Capricornis rubidus,1,0,0,0,Browser,Foregut,65.625,,
Capricornis_sumatraensis,Cetartiodactyla,Bovidae,Capricornis,VU,Sumatran Serow,Browser,Browser,Foregut,medium herbivore,HerbiTRAITS,s2BrowserForegut,7,87.5,,,,,,,,,,medium herbivore,Capricornis sumatraensis,1,0,0,0,Browser,Foregut,65.625,,
Capricornis_swinhoei,Cetartiodactyla,Bovidae,Capricornis,LC,Formosan Serow,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,3,21,,,,,,,,,,small herbivore,Capricornis swinhoei,1,0,0,0,Browser,Foregut,15.75,,
Capricornis_thar,Cetartiodactyla,Bovidae,Capricornis,NT,Himalayan Serow,Browser,Browser,Foregut,large herbivore,HerbiTRAITS,s3BrowserForegut,7,112.5,,,,,,,,,,large herbivore,Capricornis thar,1,0,0,0,Browser,Foregut,84.375,,
Caracal_aurata,Carnivora,Felidae,Caracal,VU,,,,,small herbivore,Phylacine,not_complete,1,10.65,10.65,27.3926999665339,4.41925000000001,1,solitary,Pounce pursuit,small prey predatorsolitaryPounce pursuit,CarniTRAITS,small prey predator,small prey predator,Caracal aurata,,,,,Predator,Shortgut,7.9875,,small prey predator
Caracal_caracal,Carnivora,Felidae,Caracal,LC,,,,,small herbivore,Phylacine,not_complete,2,13.7499,13.7499,156.339465232872,11.3785255,1,solitary,Pounce pursuit,small prey predatorsolitaryPounce pursuit,CarniTRAITS,small prey predator,small prey predator,Caracal caracal,,,,,Predator,Shortgut,10.312425,,small prey predator
Castor_canadensis,Rodentia,Castoridae,Castor,LC,American Beaver,Mixed Feeder,Mixed Feeder,Hindgut,small herbivore,HerbiTRAITS,s1Mixed FeederHindgut,3,21.82,,,,,,,,,,small herbivore,Castor canadensis,0,0,1,0,Mixed Feeder,Hindgut,16.365,,
Castor_fiber,Rodentia,Castoridae,Castor,LC,Eurasian Beaver,Mixed Feeder,Mixed Feeder,Hindgut,small herbivore,HerbiTRAITS,s1Mixed FeederHindgut,3,19,,,,,,,,,,small herbivore,Castor fiber,0,0,1,0,Mixed Feeder,Hindgut,14.25,,
Catagonus_wagneri,Cetartiodactyla,Tayassuidae,Catagonus,EN,Chacoan Peccary,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,5,35.5664,,,,,,,,,,small herbivore,Catagonus wagneri,1,0,0,0,Browser,Foregut,26.6748,,
Catopuma_temminckii,Carnivora,Felidae,Catopuma,NT,,,,,small herbivore,Phylacine,not_complete,1,11.5,11.5,66.1502426322522,6.3275,1,solitary,Ambush,small prey predatorsolitaryAmbush,CarniTRAITS,small prey predator,small prey predator,Catopuma temminckii,,,,,Predator,Shortgut,8.625,,small prey predator
